#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
102,"Finale","Beach House",24,120,"dream pop","Pop, Rock","Once Twice Melody",2022-02-18,04:34,47,75,2,50,53,0,30,-8,C,4,2023-04-30,6yJngDpUDsO2T4IwfHfOaj,"Bella Union",8B,USSUB2147014
103,"Fernweh","Winter Severity Index",10,120,"cold wave, darkwave, post-punk, deathrock, gothic rock","Electronic, Rock","Disgelo",2022-02-19,04:24,57,61,1,76,17,0,10,-12,C minor,4,2023-04-30,1yx0J3O4KtB5cGYwNmqSyb,"Icy Cold Records, Manic Depression Records, Blood Rock Records",5A,FR9W12127666
104,"Blind - Drab Majesty Remix","The KVB, Drab Majesty",0,103,"cold wave, darkwave, post-punk, gothic rock, shoegaze, deathrock, synthpop","Electronic, Rock, Pop","Unity Remixes",2022-05-27,05:23,56,80,1,43,52,0,10,-8,D,4,2023-04-30,6nL9W8Lx1Irn0qfyoVgD2a,"INVADA Records UK",10B,UKFGV2200313
105,"Paralyzed","Swiss Portrait",0,150,"dream pop, lo-fi indie","Pop, Rock, Electronic","Paralyzed",2022-02-18,02:40,65,53,2,85,70,0,10,-14,F#/G♭,4,2023-04-30,4mdZWoL6PJATO5gn1YGVdV,"Chilli Dog Records",2B,FR10S2242676
106,"Ricochet","Preoccupations",0,161,"post-punk, noise rock, cold wave","Electronic, Rock","Arrangements",2022-09-09,05:04,43,89,8,26,51,0,20,-8,E minor,4,2023-04-30,2ERBPri2w8HgSpjBQNxfdm,"Preoccupations",9A,CAF272205202
107,"Hideout","Swiss Portrait",0,168,"dream pop, lo-fi indie","Pop, Rock, Electronic","Hideout",2022-08-30,03:30,45,81,0,82,83,0,10,-13,C,4,2023-04-30,0ghSwknRbOi4ZIHqGfTYDs,"Willow",8B,QZMEN2276249
108,"What Feels Like Eternity","Metric",37,166,"","","Formentera",2022-07-08,03:37,53,77,8,0,58,0,0,-5,F minor,4,2023-04-30,4JmXokIIxfoS3XdhkHUBDw,"Metric Music International, Inc.",4A,CBBEL2200003
109,"All Comes Crashing","Metric",41,111,"","","All Comes Crashing",2022-04-28,04:23,70,69,1,0,30,0,40,-7,G minor,4,2023-04-30,1gKLWryPONC9dyrx5fX3Dr,"Metric Music International, Inc.",6A,QM4TX2261133
110,"Superstar","Beach House",0,118,"dream pop","Pop, Rock","Once Twice Melody",2022-01-19,06:08,50,90,5,88,38,0,10,-6,D#/E♭,4,2023-04-30,0OyCZ7uT2npYfofGaCyt7n,"Bella Union",5B,USSUB2147002
111,"Atmosphere","Joy Division",50,120,"post-punk, new wave, gothic rock, darkwave, madchester, cold wave","Electronic, Rock, Pop","The Best Of",2008-03-20,04:10,56,47,17,28,43,0,0,-10,F#/G♭,4,2023-04-30,0NBgmP6Yg5xZYsnIZ0pGdo,"London Records",2B,GBAAP9500273
112,"She's Lost Control - 12  Single Version","Joy Division",38,142,"post-punk, new wave, gothic rock, darkwave, madchester, cold wave","Electronic, Rock, Pop","The Best Of",2008-03-20,04:54,77,66,1,67,70,10,20,-10,A minor,4,2023-04-30,7MK2c7qnXEUOl0lVFWEckq,"London Records",8A,GBAAP9700191
113,"Contact the Fact","The Sound",39,143,"post-punk, cold wave, gothic rock, new wave, darkwave, deathrock","Electronic, Rock, Pop","From The Lion's Mouth",1981-00-00,04:21,56,50,0,5,45,0,0,-11,G,4,2023-04-30,2rnUY7Vj6LcAU4yzUVKHzo,"Rhino",9B,GBAHT1100077
